id,stem,type,answer,analysis,options
133,å,1,ABD,cc,"['a', 'b', 'c']"
73,©,1,ABD,cc,"['a', 'b', 'c']"
118,Ö,1,ABD,cc,"['a', 'b', 'c']"
29,},2,bad,cc,"['a', 'b', 'c']"
92,¼,2,bad,cc,"['a', 'b', 'c']"
125,Ý,2,bad,cc,"['a', 'b', 'c']"
2,b,2,bad,cc,"['a', 'b', 'c']"
74,ª,2,bad,cc,"['a', 'b', 'c']"
41,,2,bad,cc,"['a', 'b', 'c']"
65,¡,2,bad,cc,"['a', 'b', 'c']"
14,n,2,bad,cc,"['a', 'b', 'c']"
23,w,2,bad,cc,"['a', 'b', 'c']"
98,Â,2,bad,cc,"['a', 'b', 'c']"
102,Æ,3,bad,cc,"['a', 'b', 'c']"
90,º,3,bad,cc,"['a', 'b', 'c']"
141,í,3,bad,cc,"['a', 'b', 'c']"
57,,3,bad,cc,"['a', 'b', 'c']"
108,Ì,3,bad,cc,"['a', 'b', 'c']"
66,¢,3,bad,cc,"['a', 'b', 'c']"
60,,3,bad,cc,"['a', 'b', 'c']"
